2024-06-09 22:07:22 upgrade libraspberrypi-doc:armhf 1.20180313-1 1.20190819~stretch-1
2024-06-09 22:07:22 status half-configured libraspberrypi-doc:armhf 1.20180313-1
2024-06-09 22:07:22 status unpacked libraspberrypi-doc:armhf 1.20180313-1
2024-06-09 22:07:22 status half-installed libraspberrypi-doc:armhf 1.20180313-1
2024-06-09 22:07:37 status half-installed libraspberrypi-doc:armhf 1.20180313-1
2024-06-09 22:07:38 status unpacked libraspberrypi-doc:armhf 1.20190819~stretch-1
2024-06-09 22:07:38 status unpacked libraspberrypi-doc:armhf 1.20190819~stretch-1
2024-06-09 22:07:38 upgrade libraspberrypi-dev:armhf 1.20180313-1 1.20190819~stretch-1
2024-06-09 22:07:38 status half-configured libraspberrypi-dev:armhf 1.20180313-1
2024-06-09 22:07:38 status unpacked libraspberrypi-dev:armhf 1.20180313-1
2024-06-09 22:07:38 status half-installed libraspberrypi-dev:armhf 1.20180313-1
2024-06-09 22:07:40 status half-installed libraspberrypi-dev:armhf 1.20180313-1
2024-06-09 22:07:40 status unpacked libraspberrypi-dev:armhf 1.20190819~stretch-1
2024-06-09 22:07:40 status unpacked libraspberrypi-dev:armhf 1.20190819~stretch-1
2024-06-09 22:07:40 upgrade raspberrypi-kernel:armhf 1.20180313-1 1.20190819~stretch-1
2024-06-09 22:07:40 status half-configured raspberrypi-kernel:armhf 1.20180313-1
2024-06-09 22:07:40 status unpacked raspberrypi-kernel:armhf 1.20180313-1
2024-06-09 22:07:40 status half-installed raspberrypi-kernel:armhf 1.20180313-1
2024-06-09 22:08:58 status half-installed raspberrypi-kernel:armhf 1.20180313-1
2024-06-09 22:09:03 status unpacked raspberrypi-kernel:armhf 1.20190819~stretch-1
2024-06-09 22:09:03 status unpacked raspberrypi-kernel:armhf 1.20190819~stretch-1
2024-06-09 22:09:04 upgrade libraspberrypi-bin:armhf 1.20180313-1 1.20190819~stretch-1
2024-06-09 22:09:04 status half-configured libraspberrypi-bin:armhf 1.20180313-1
2024-06-09 22:09:05 status unpacked libraspberrypi-bin:armhf 1.20180313-1
2024-06-09 22:09:05 status half-installed libraspberrypi-bin:armhf 1.20180313-1
2024-06-09 22:09:06 status half-installed libraspberrypi-bin:armhf 1.20180313-1
2024-06-09 22:09:06 status unpacked libraspberrypi-bin:armhf 1.20190819~stretch-1
2024-06-09 22:09:06 status unpacked libraspberrypi-bin:armhf 1.20190819~stretch-1
2024-06-09 22:09:06 upgrade libraspberrypi0:armhf 1.20180313-1 1.20190819~stretch-1
2024-06-09 22:09:06 status half-configured libraspberrypi0:armhf 1.20180313-1
2024-06-09 22:09:06 status unpacked libraspberrypi0:armhf 1.20180313-1
2024-06-09 22:09:06 status half-installed libraspberrypi0:armhf 1.20180313-1
2024-06-09 22:09:14 status half-installed libraspberrypi0:armhf 1.20180313-1
2024-06-09 22:09:14 status unpacked libraspberrypi0:armhf 1.20190819~stretch-1
2024-06-09 22:09:14 status unpacked libraspberrypi0:armhf 1.20190819~stretch-1
2024-06-09 22:09:15 upgrade raspberrypi-bootloader:armhf 1.20180313-1 1.20190819~stretch-1
2024-06-09 22:09:15 status half-configured raspberrypi-bootloader:armhf 1.20180313-1
2024-06-09 22:09:15 status unpacked raspberrypi-bootloader:armhf 1.20180313-1
2024-06-09 22:09:15 status half-installed raspberrypi-bootloader:armhf 1.20180313-1
2024-06-09 22:09:31 status half-installed raspberrypi-bootloader:armhf 1.20180313-1
2024-06-09 22:09:33 status unpacked raspberrypi-bootloader:armhf 1.20190819~stretch-1
2024-06-09 22:09:34 status unpacked raspberrypi-bootloader:armhf 1.20190819~stretch-1
2024-06-09 22:09:34 upgrade raspberrypi-sys-mods:armhf 20180312 20181127
2024-06-09 22:09:34 status half-configured raspberrypi-sys-mods:armhf 20180312
2024-06-09 22:09:34 status unpacked raspberrypi-sys-mods:armhf 20180312
2024-06-09 22:09:34 status half-installed raspberrypi-sys-mods:armhf 20180312
2024-06-09 22:09:35 status half-installed raspberrypi-sys-mods:armhf 20180312
2024-06-09 22:09:39 status unpacked raspberrypi-sys-mods:armhf 20181127
2024-06-09 22:09:39 status unpacked raspberrypi-sys-mods:armhf 20181127
2024-06-09 22:09:39 upgrade pi-bluetooth:all 0.1.7 0.1.10
2024-06-09 22:09:39 status half-configured pi-bluetooth:all 0.1.7
